timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535252459897717,0,-6,-1,1,2,1,1,-1
1535252459904688,-1,-5,-3,1,-4,-3,-1,-2
1535252459904688,0,-5,4,-3,1,3,0,0
1535252459913711,-1,2,-3,-9,-7,1,-2,-2
1535252459913711,0,0,6,18,-7,-1,0,0
1535252459928799,-1,-9,-13,-35,2,0,-1,-2
1535252459928799,-1,-1,-3,-19,-4,-2,-3,-2
1535252459930852,-2,1,1,4,1,-2,0,0
1535252459930852,0,-10,-6,5,-2,-1,-1,-1
1535252459950810,2,-9,3,18,0,-2,1,1
1535252459950810,-1,-10,1,3,0,0,1,-1
1535252459952815,-2,-8,4,-5,1,4,2,1
1535252459952815,-1,-1,-7,-18,-1,-2,0,-2
1535252459964847,-1,9,2,14,-2,0,0,0
1535252459964847,-1,9,-1,-5,-5,-5,-3,-2
1535252459973872,2,17,4,6,1,1,1,-1
1535252459973872,-1,9,-1,-1,4,0,1,-1
1535252459989241,-1,13,0,26,-3,-2,-3,0
1535252459989241,1,8,-6,-35,-3,-6,-4,-2
1535252459989915,0,9,0,12,6,2,1,0
1535252459989915,1,3,4,-4,0,-2,-1,0
1535252460011721,-2,-7,0,-12,-6,2,2,2
1535252460011721,0,1,-2,17,-1,-1,-4,-2
1535252460012991,-1,2,-2,3,0,-4,-4,-2
1535252460012991,-1,0,-6,-10,1,-1,0,1
1535252460025007,-3,59,1,9,2,2,-1,-3
1535252460025007,0,54,2,-5,-4,-3,1,4
1535252460034032,0,25,1,1,14,6,4,1
1535252460034032,3,-6,-5,-6,-9,-5,-3,0
1535252460049072,4,-32,-3,-11,-4,-7,-4,-1
1535252460049072,1,-15,7,11,15,13,8,0
1535252460050074,-3,-20,-11,-11,-10,-2,-1,1
1535252460050074,0,-3,-4,-3,-1,-3,0,1
1535252460072134,1,-8,3,9,-5,-3,-1,0
1535252460072134,-2,-12,-9,-18,-11,-8,-4,-1
1535252460073138,2,-7,-3,-8,-4,-2,-1,1
1535252460073138,0,-2,6,10,15,9,3,1
1535252460085167,-1,-7,-6,-4,-1,-2,-1,0
1535252460085167,0,-12,0,6,-2,0,0,2
1535252460094301,2,-5,-2,-10,-17,-8,-7,-1
1535252460094301,-2,3,-1,-28,3,5,5,0
1535252460108230,2,4,9,32,14,2,2,-1
1535252460108230,0,-5,-2,-11,-1,-5,-4,-1
1535252460115252,-2,-8,0,3,1,3,3,1
1535252460115252,0,0,3,4,3,3,1,1
1535252460131590,-1,-6,5,-13,-4,6,2,1
1535252460131590,-1,-4,-1,13,-1,-10,-5,1
1535252460133295,1,3,4,3,6,5,3,1
1535252460133295,-4,-2,-6,-1,-2,-5,-4,-2
1535252460145329,3,2,-1,-11,-3,-4,-1,1
1535252460145329,-3,-15,3,18,7,6,5,1
1535252460154351,1,4,2,-10,0,0,-1,-1
1535252460154351,0,1,6,14,-3,0,-1,0
1535252460168474,-3,-4,-7,-19,-13,-8,-4,-1
1535252460168474,-1,5,-6,11,-5,-2,-1,-1
1535252460175418,1,3,8,15,18,5,6,0
1535252460175418,-1,-5,1,-3,-8,-3,-3,-4
1535252460191451,-1,-7,-2,9,5,1,0,1
1535252460191451,0,-7,-1,-1,-5,-1,-2,-1
1535252460193455,-1,-5,-8,-18,-6,-4,-1,-1
1535252460193455,0,1,-4,7,1,-3,2,1
1535252460212589,-2,-2,0,-14,-1,3,0,-1
1535252460212589,0,-3,5,20,9,7,3,0
1535252460221533,1,6,-7,1,-9,-6,-6,-2
1535252460221533,-2,-10,-2,-5,-2,-1,-1,1
1535252460228668,-2,-2,-8,-16,-7,-6,-3,-2
1535252460228668,-1,3,8,9,7,9,5,2
1535252460235656,-1,-3,-1,1,-6,-4,-2,-2
1535252460235656,0,-3,-13,-30,-12,-7,-8,-3
1535252460251723,3,-1,7,26,22,6,5,1
1535252460251723,0,-6,0,-4,-9,-4,-3,0
1535252460252626,-1,0,-2,8,11,5,2,1
1535252460252626,-1,13,8,11,-1,1,2,0
1535252460264645,0,-2,2,-16,-11,-8,-5,1
1535252460264645,1,5,1,-22,-2,1,-1,-1
1535252460281692,-1,-10,3,31,11,3,2,2
1535252460281692,1,-5,1,-1,-9,-7,-3,-2
1535252460287707,-1,-6,1,4,-4,-2,-2,-3
1535252460287707,0,0,2,4,10,7,4,1
1535252460302746,-2,-4,1,-17,-11,-7,-7,-3
1535252460302746,0,-7,2,11,1,0,-4,-1
1535252460311798,-1,-3,4,17,13,8,10,1
1535252460311798,-2,-3,-7,-4,10,2,2,-1
1535252460312774,1,3,2,10,-2,-1,-1,-1
1535252460312774,2,5,-3,-5,-4,-4,-3,1
1535252460324806,-1,7,-5,-23,-14,-3,-7,-3
1535252460324806,2,13,8,39,18,1,5,2
1535252460333831,-1,26,-1,-3,-5,4,0,-2
1535252460333831,-1,6,2,3,5,3,4,1
1535252460347920,0,2,-6,-1,-7,-5,-5,-1
1535252460347920,1,-14,-4,-19,-13,-8,-6,-2
1535252460354941,-2,-22,0,5,8,4,3,1
1535252460354941,1,10,-2,8,3,0,-2,-1
1535252460371990,-4,-16,-5,-16,-7,1,-1,-1
1535252460371990,-1,-22,-5,-6,-10,-3,-4,-1
1535252460377975,-5,-27,2,-5,2,-2,0,0
1535252460377975,-2,-28,-1,-7,-2,0,-4,-2
1535252460394042,-1,-110,4,19,1,-1,2,2
1535252460394042,-1,101,3,-9,-8,-2,-4,-2
1535252460395042,1,67,-4,-11,-5,-2,-2,-3
1535252460395042,-4,34,-3,1,-5,-1,-1,1
1535252460408027,0,15,3,20,13,2,5,2
1535252460408027,-2,-46,-2,-3,-4,-4,-3,-1
1535252460422104,1,-19,0,7,2,3,1,1
1535252460422104,-1,-6,-2,-9,0,-5,-2,-4
